alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
0.7,4088.0,4.22,14.9,67.4,16.7,15.31,50.84,48.25
1.9,3205.0,5.24,3.5,57.8,15.5,11.78,28.99,19.19
2.3,1515.0,4.69,8.4,53.3,17.0,10.71,23.07,33.67
1.0,1945.0,3.13,5.5,61.9,15.0,16.72,66.02,46.71
2.2,9592.0,4.81,49.4,78.1,33.3,10.84,20.58,105.55
0.9,13379.0,6.35,18.2,74.2,25.7,13.93,33.37,15.64
1.4,8190.0,3.79,7.7,58.6,16.0,13.16,33.42,20.2
2.9,19599.0,6.67,55.8,76.5,29.3,12.61,16.14,15.33
2.6,9077.0,4.45,37.5,73.5,31.6,10.66,37.18,102.37
4.2,46999.0,7.29,79.0,82.3,36.2,17.52,10.54,2.95
4.0,41565.0,6.95,80.0,80.8,41.5,14.34,14.28,102.15
3.0,16359.0,5.25,54.2,70.4,27.8,9.82,22.18,114.77
0.9,36949.0,6.17,88.0,79.1,29.4,14.06,70.29,1560.44
1.5,2914.0,4.64,5.0,69.6,22.9,11.72,70.79,1168.4
3.7,18251.0,5.81,46.9,72.6,38.4,11.81,21.65,47.76
3.6,37906.0,6.86,80.7,80.3,40.2,13.67,14.74,364.3
0.9,1867.0,3.35,4.5,58.7,17.0,11.65,31.99,88.81
1.9,5511.0,5.86,35.3,66.7,21.7,14.51,26.39,9.76
2.4,8873.0,5.25,45.1,77.2,38.3,10.86,31.77,71.77
2.6,13743.0,4.03,16.0,60.8,21.5,11.34,24.85,3.84
4.2,14985.0,6.98,48.6,73.6,29.0,16.5,15.29,23.93
2.6,15204.0,4.44,51.9,74.4,41.7,10.5,22.64,68.98
0.8,1388.0,3.48,3.7,57.6,15.9,11.67,38.78,62.55
1.7,727.0,2.9,1.2,58.5,16.2,12.84,41.01,381.44
1.2,2634.0,3.88,4.9,68.9,22.9,12.32,31.28,83.77
1.0,2541.0,4.24,7.5,57.8,16.9,11.66,62.78,44.49
4.5,42445.0,7.3,83.0,81.7,39.1,13.44,8.11,3.87
1.5,916.0,2.69,2.4,50.7,15.3,14.27,53.36,7.66
0.8,1793.0,3.46,2.1,50.5,14.6,12.53,58.68,10.13
3.9,20531.0,6.84,55.0,79.0,32.3,14.12,25.05,23.32
1.8,10680.0,5.2,42.3,76.2,34.8,10.64,63.83,145.56
3.0,12123.0,6.45,49.0,75.6,27.3,10.78,20.54,41.26
1.6,1509.0,3.96,6.0,61.8,17.9,11.71,21.25,367.85
1.6,5949.0,4.06,6.1,62.3,18.5,12.88,43.49,13.8
2.5,12792.0,7.25,47.5,79.3,28.9,12.17,19.34,92.77
0.9,2636.0,3.57,4.4,56.2,16.7,10.98,22.49,69.22
3.2,19441.0,5.38,61.9,77.3,41.3,10.84,20.2,77.41
2.4,26011.0,5.63,60.7,80.1,33.6,14.38,19.22,125.17
3.7,26474.0,6.48,73.4,78.0,39.2,10.39,18.74,136.16
1.3,710.0,4.41,1.7,57.2,15.7,13.74,43.04,31.32
4.2,43510.0,7.51,92.3,80.1,39.9,12.71,11.12,140.02
1.8,2654.0,4.37,9.4,60.8,21.3,11.62,39.94,41.17
2.0,11848.0,5.39,42.3,72.5,24.4,14.4,16.15,207.64
1.8,10398.0,5.95,35.1,76.1,24.4,13.82,19.56,62.34
0.7,10767.0,4.89,26.4,70.1,22.8,13.91,72.79,91.66
4.1,7726.0,5.86,20.3,71.8,23.1,12.61,30.93,297.36
3.6,23026.0,5.56,78.4,76.5,39.8,11.41,7.81,30.94
3.0,7552.0,4.87,20.8,49.8,18.9,11.51,18.18,64.62
2.9,1287.0,4.51,2.9,61.5,16.5,12.5,35.97,83.69
3.5,37704.0,7.38,89.9,80.5,41.3,13.82,6.6,17.81
3.5,36571.0,6.47,81.4,81.8,39.6,15.25,13.83,115.19
1.6,16932.0,3.92,24.0,64.6,20.6,12.85,40.81,7.13
0.8,1725.0,4.12,12.4,62.1,15.9,12.65,30.73,203.66
2.7,9491.0,4.29,36.9,72.4,35.3,10.46,25.0,54.75
3.2,43320.0,6.98,82.3,80.5,43.9,13.8,13.58,233.39
1.0,3508.0,3.86,10.6,62.1,19.4,11.24,28.9,118.04
2.5,22693.0,4.76,55.1,80.3,41.2,15.73,18.42,85.06
4.0,6714.0,6.54,16.0,71.5,19.3,12.81,29.89,141.17
0.7,1397.0,3.41,3.1,57.4,16.5,11.75,22.99,43.91
2.2,1674.0,3.89,9.8,62.3,20.9,14.74,17.48,366.78
2.9,4518.0,5.06,18.1,71.7,20.2,12.21,27.45,78.58
3.1,20631.0,5.18,70.6,75.2,39.9,10.58,17.53,108.72
3.2,36990.0,7.5,96.2,82.6,34.4,13.26,7.34,3.18
1.7,4932.0,4.42,11.1,67.9,24.6,13.64,88.17,428.66
0.9,9285.0,5.6,14.5,69.0,27.2,10.32,18.17,133.27
1.1,16745.0,4.68,22.7,74.2,27.5,18.4,38.54,47.66
0.8,12652.0,4.54,7.1,68.0,18.2,14.04,66.84,78.01
